seq,lob_time,t_send,t_reflex,t_fpga,latency_gap_ns,reflex_act,fpga_score,final_dec
67,34201.173174928,164281223301860,164281223334822,0,-1,WIDEN_SPREADS,0.0,HOLD
68,34201.17320583,164281243327540,164281243349001,0,-1,NONE,0.0,HOLD
69,34201.183611554,164281263358881,164281263379089,0,-1,NONE,0.0,HOLD
70,34201.183713008,164281283388299,164281283400822,0,-1,NONE,0.0,HOLD
71,34201.188030854,164281303412676,164281303430500,0,-1,NONE,0.0,HOLD
72,34201.188124042,164281323438397,164281323457563,0,-1,NONE,0.0,HOLD
73,34201.384238778,164281343458066,164281343473505,0,-1,NONE,0.0,HOLD
74,34201.39750588,164281363481853,164281363499045,0,-1,NONE,0.0,HOLD
75,34201.536315252,164281383523523,164281383557817,0,-1,NONE,0.0,HOLD
76,34201.732217592,164281403567157,164281403601712,0,-1,NONE,0.0,HOLD
77,34201.73236517,164281423595512,164281423624527,0,-1,NONE,0.0,HOLD
78,34201.732368385,164281443613047,164281443625000,0,-1,NONE,0.0,HOLD
79,34201.732392812,164281463636914,164281463651001,0,-1,NONE,0.0,HOLD
80,34201.840762287,164281483653728,164281483665460,0,-1,NONE,0.0,HOLD
81,34202.030342281,164281503680661,164281503696650,0,-1,NONE,0.0,HOLD
82,34202.030342281,164281523719926,164281523748720,0,-1,NONE,0.0,HOLD
83,34202.030342281,164281543751317,164281543770934,0,-1,NONE,0.0,HOLD
84,34202.030451996,164281563789621,164281563817624,0,-1,NONE,0.0,HOLD
85,34202.034349986,164281583827555,164281583854094,0,-1,TAKE_LIQUIDITY,0.0,BUY
86,34202.179737249,164281603871068,164281603903980,0,-1,TAKE_LIQUIDITY,0.0,BUY
87,34202.255253777,164281623910595,164281623938226,0,-1,TAKE_LIQUIDITY,0.0,BUY
88,34202.255253777,164281643951333,164281643982832,0,-1,TAKE_LIQUIDITY,0.0,BUY
89,34202.255342116,164281663987714,164281664016758,0,-1,TAKE_LIQUIDITY,0.0,BUY
90,34202.25538437,164281684029755,164281684055282,0,-1,TAKE_LIQUIDITY,0.0,BUY
91,34202.255391393,164281704069511,164281704088747,0,-1,TAKE_LIQUIDITY,0.0,BUY
92,34202.255445644,164281724095893,164281724112424,0,-1,TAKE_LIQUIDITY,0.0,BUY
